column_name,category,data_type,nullable,example_values,constraints,description
Job_Link,identifier,string,No,https://glints.com/id/opportunities/jobs/...,Unique URL per lowongan,URL unik setiap posting lowongan kerja dari platform Glints
Title,raw_text,string,No,"Software Engineer, Marketing Staff, Data Analyst",Max panjang ~200 karakter,Nama/judul posisi pekerjaan sebagaimana tercantum di posting
Industry,categorical,string,No (diisi 'UNKNOWN' jika null),"Technology, Finance, Education, UNKNOWN",Level 1 hierarki; diisi 'UNKNOWN' untuk data asli yang null,Bidang industri perusahaan yang membuka lowongan (Level 1 hierarki)
Job_Category_parent,categorical,string,No,"Engineering, Marketing, Sales, Human Resources",Level 2 hierarki; tidak ada nilai null,Fungsi pekerjaan utama / kategori induk (Level 2 hierarki)
Job_Category,categorical,string,No,"Software Engineer, Digital Marketing, Accounting",Level 3 hierarki; sub-kategori dari Job_Category_parent,Kategori pekerjaan detail (Level 3 hierarki)
Job_Type,categorical,string,No,"FULL_TIME, CONTRACT, INTERNSHIP, PART_TIME, PROJECT_BASED",Nilai enum tetap,Jenis kontrak kerja
Work Arrangement,categorical,string,No,"ONSITE, HYBRID, REMOTE",Nilai enum tetap,Skema lokasi kerja
Education,categorical,string,No,"HIGH_SCHOOL, DIPLOMA, BACHELOR_DEGREE, MASTER_DEGREE, DOCTORATE, PRIMARY_SCHOOL, SECONDARY_SCHOOL, PROFESSIONAL_EDUCATION",Nilai enum ordinal,Pendidikan minimum yang disyaratkan (nilai ordinal)
Experience,integer,int,No,"0, 1, 3, 5, 10",Nilai diskret: {0; 1; 3; 5; 10},Pengalaman kerja minimum yang disyaratkan dalam tahun
Skills,raw_text,string,No,"Python, SQL, Communication, Teamwork",Comma-separated string; bisa sangat panjang,Daftar skill yang dibutuhkan dalam format comma-separated (data mentah sebelum normalisasi)
Salary_Mode,categorical,string,Yes,"MONTH, YEAR, HOUR, DAY, WEEK, PROJECT",Nullable; null berarti tidak ada data salary; nilai: {MONTH; YEAR; HOUR; DAY; WEEK; PROJECT},Mode/frekuensi pembayaran gaji asli dari posting
salary_min_monthly,numeric,float,Yes,"2000000.0, 5000000.0, 8500000.0",Dalam IDR; null jika no-salary; nilai >= 0,Gaji minimum setelah dikonversi ke satuan bulanan (IDR)
salary_max_monthly,numeric,float,Yes,"4000000.0, 8000000.0, 15000000.0",Dalam IDR; null jika no-salary; nilai >= salary_min_monthly,Gaji maksimum setelah dikonversi ke satuan bulanan (IDR)
salary_min_usd,numeric,float,Yes,"117.65, 294.12, 500.0",Dalam USD; null jika no-salary; = salary_min_monthly / 17000,Gaji minimum bulanan dalam USD (kurs IDR/USD = 17.000)
salary_max_usd,numeric,float,Yes,"235.29, 470.59, 882.35",Dalam USD; null jika no-salary; = salary_max_monthly / 17000; >= salary_min_usd,Gaji maksimum bulanan dalam USD (kurs IDR/USD = 17.000)
salary_min_jt,numeric,float,Yes,"2.0, 5.0, 8.5",Dalam juta IDR; null jika no-salary; = salary_min_monthly / 1.000.000,Gaji minimum bulanan dalam satuan Juta Rupiah (IDR)
salary_max_jt,numeric,float,Yes,"4.0, 8.0, 15.0",Dalam juta IDR; null jika no-salary; = salary_max_monthly / 1.000.000,Gaji maksimum bulanan dalam satuan Juta Rupiah (IDR)
