column_name,data_type,category,description,example_value,nullable,available_in,notes
Job_Link,string,Identitas,URL unik per lowongan kerja di Glints (format: https://glints.com/id/opportunities/jobs/<id>),https://glints.com/id/opportunities/jobs/abc123,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,Digunakan sebagai primary key de-duplikasi
Title,string,Identitas,Nama posisi/jabatan pekerjaan seperti yang tertera di posting,Data Analyst,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,"Belum dinormalisasi, bisa sangat variatif"
Industry,string,Hierarki Kategori (L1),Bidang industri perusahaan yang membuka lowongan (Level 1 hierarki),Technology,True,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,Missing value (~1.6%) diisi 'UNKNOWN' saat cleaning
Job_Category_parent,string,Hierarki Kategori (L2),Fungsi pekerjaan utama / domain karir (Level 2 hierarki). Digunakan sebagai primary key di tabel Job_listings database,Software Engineering,True,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,Kolom kunci untuk grouping di glints_category_output.csv dan seeding database
Job_Category,string,Hierarki Kategori (L3),"Spesialisasi pekerjaan secara detail (Level 3 hierarki, anak dari Job_Category_parent)",Backend Developer,True,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,Level paling granular dalam hierarki Industry → Job_Category_parent → Job_Category
Salary_Mode,string (categorical),Salary Raw,Satuan/periode pembayaran gaji yang diinput perusahaan,MONTH,True,full_dataset_glints.csv | glints_v2_cleaned.csv,"Nilai: MONTH, YEAR, HOUR, WEEK, DAY, PROJECT. Null berarti no-salary. Digunakan untuk konversi ke monthly."
Min_Salary,float,Salary Raw,"Batas bawah gaji dalam satuan Salary_Mode (IDR, belum dikonversi ke bulanan)",5000000,True,full_dataset_glints.csv,Nilai 0 diperlakukan sebagai null saat cleaning. Kolom ini adalah nilai mentah sebelum konversi.
Max_Salary,float,Salary Raw,"Batas atas gaji dalam satuan Salary_Mode (IDR, belum dikonversi ke bulanan)",8000000,True,full_dataset_glints.csv,"Jika null, diisi dengan nilai Min_Salary. Nilai 0 diperlakukan sebagai null."
salary_min_monthly,float,Salary Processed (IDR),Batas bawah gaji setelah dikonversi ke IDR per bulan,5000000.0,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,Hasil konversi dari Min_Salary × multiplier Salary_Mode. Null untuk posting tanpa salary.
salary_max_monthly,float,Salary Processed (IDR),Batas atas gaji setelah dikonversi ke IDR per bulan,8000000.0,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,Hasil konversi dari Max_Salary × multiplier Salary_Mode.
salary_min_jt,float,Salary Processed (IDR),Batas bawah gaji bulanan dalam satuan Juta IDR (÷ 1.000.000),5.0,True,glints_v2_cleaned.csv,Shorthand untuk visualisasi dashboard agar angka lebih ringkas
salary_max_jt,float,Salary Processed (IDR),Batas atas gaji bulanan dalam satuan Juta IDR (÷ 1.000.000),8.0,True,glints_v2_cleaned.csv,
salary_avg_jt,float,Salary Processed (IDR),Rata-rata gaji (avg dari min & max) dalam Juta IDR per bulan,6.5,True,glints_v2_cleaned.csv,
salary_range_width_jt,float,Salary Processed (IDR),Lebar rentang salary (max - min) dalam Juta IDR. Proxy ruang negosiasi.,3.0,True,glints_v2_cleaned.csv,Semakin besar = posting lebih fleksibel dalam negosiasi
salary_min_usd,float,Salary Processed (USD),Batas bawah gaji bulanan dalam USD (hasil konversi dari IDR),312.5,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,Konversi menggunakan kurs tetap yang ditetapkan di notebook. Null untuk no-salary.
salary_max_usd,float,Salary Processed (USD),Batas atas gaji bulanan dalam USD,500.0,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,
salary_avg,float,Salary Processed (USD),Rata-rata gaji (avg dari salary_min_usd & salary_max_usd) dalam USD per bulan,406.25,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,Kolom utama untuk analisis salary komparatif
salary_avg_usd,float,Salary Processed (USD),"Alias dari salary_avg, di-round 2 desimal. Digunakan untuk konsistensi naming.",406.25,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,Identik dengan salary_avg. Tersedia di glints_category_output sebagai min_avg_salary & max_avg_salary.
salary_avg_capped,float,Salary Processed (USD),salary_avg yang sudah di-clip di persentil ke-99 untuk menghilangkan outlier ekstrem,406.25,True,glints_nlp_ready.csv,Digunakan sebagai input MinMaxScaler untuk menghasilkan salary_normalized
salary_range_width_usd,float,Salary Processed (USD),Lebar rentang salary (max_usd - min_usd) dalam USD. Proxy fleksibilitas negosiasi.,187.5,True,glints_v2_cleaned.csv,
salary_normalized,float [0.0 – 1.0],Salary Encoded,"salary_avg_capped yang dinormalisasi dengan MinMaxScaler ke rentang [0, 1]",0.3241,True,glints_nlp_ready.csv,Null untuk posting tanpa salary. Digunakan langsung sebagai fitur numerik model ML.
salary_tier,string (ordinal categorical),Salary Encoded,Label tier salary berdasarkan salary_avg_usd per bulan,Mid,True,glints_nlp_ready.csv | glints_v2_cleaned.csv,"Nilai: Entry, Low-Mid, Mid, Mid-Senior, Senior, Executive. Null untuk no-salary."
salary_tier_encoded,integer,Salary Encoded,Encoding ordinal dari salary_tier (Entry=1 s/d Executive=6),3,True,glints_nlp_ready.csv,Null untuk no-salary. Gunakan kolom ini untuk model yang butuh fitur numerik ordinal.
has_salary,boolean,Salary Encoded,Flag apakah posting ini mencantumkan informasi salary yang valid,True,False,glints_nlp_ready.csv | glints_v2_cleaned.csv,False jika Salary_Mode null & Min_Salary = Max_Salary = 0 (~15.5% dari dataset)
Skills,string (comma-separated),Skills,"Daftar skill mentah (raw) yang diminta perusahaan, dipisahkan koma","Python, SQL, Data Analysis, Microsoft Excel",True,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,Belum dinormalisasi. Berisi duplikat variasi nama (mis. 'Ms Excel' vs 'Microsoft Excel').
skills_list,list of string (Python list repr),Skills,Daftar skill setelah normalisasi canonical name mapping (lowercase → standar),"['Python', 'SQL', 'Data Analysis', 'Microsoft Excel']",False,glints_nlp_ready.csv | glints_category_output.csv,Hasil dari SKILL_CANONICAL dict di notebook. Duplikat variasi digabung ke satu nama standar. Di glints_category_output.csv berisi semua unique skill per job_category_parent.
skill_count,integer,Skills,Jumlah skill yang diminta dalam satu posting (dihitung dari kolom Skills raw),5,False,glints_v2_cleaned.csv,Proxy kompleksitas atau seniority posisi. Rata-rata ~5 skill per posting.
Job_Type,string (categorical),Job Context,Tipe kontrak/ikatan kerja (nilai raw dari API),FULL_TIME,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,"Nilai: FULL_TIME, CONTRACT, INTERNSHIP, PART_TIME, FREELANCE, PROJECT_BASED"
Job_Type_Label,string,Job Context,Label human-readable dari Job_Type untuk keperluan tampilan dashboard,Full Time,False,glints_v2_cleaned.csv,Mapping dari JT_LABEL dict di notebook. Fallback ke nilai Job_Type jika tidak ada mapping.
Work Arrangement,string (categorical),Job Context,Pengaturan lokasi kerja (nilai raw dari API),REMOTE,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,"Nilai: ONSITE, HYBRID, REMOTE. Perhatikan nama kolom menggunakan spasi (bukan underscore)."
Work_Arr_Label,string,Job Context,Label human-readable dari Work Arrangement,Remote,False,glints_v2_cleaned.csv,Mapping dari WA_LABEL dict di notebook.
Education,string (categorical),Job Context,Persyaratan pendidikan minimum untuk posisi ini (nilai raw dari API),BACHELOR_DEGREE,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,"Nilai: PRIMARY_SCHOOL, SECONDARY_SCHOOL, HIGH_SCHOOL, DIPLOMA, BACHELOR_DEGREE, PROFESSIONAL_EDUCATION, MASTER_DEGREE, DOCTORATE"
Education_Label,string,Job Context,Label human-readable dari Education untuk tampilan dashboard,S1 / Sarjana,False,glints_v2_cleaned.csv,Mapping dari EDU_LABEL dict di notebook.
education_rank,integer (ordinal),Job Context,Encoding ordinal dari Education untuk analisis korelasi numerik,5,False,glints_v2_cleaned.csv,Skala: PRIMARY_SCHOOL=1 s/d DOCTORATE=8. Dari EDU_RANK dict di notebook.
Experience,integer,Job Context,Minimum tahun pengalaman kerja yang dibutuhkan,3,False,full_dataset_glints.csv | glints_nlp_ready.csv | glints_v2_cleaned.csv,"Nilai: 0, 1, 3, 5, 10. Berasal dari filter yearsOfExperienceFilter di API."
experience_level,string (categorical),Job Context,Label deskriptif level karir berdasarkan nilai Experience,Mid Level (3 thn),False,glints_v2_cleaned.csv,"Mapping dari map_exp_level() di notebook. Contoh nilai: 'Entry Level (0 thn)', 'Mid Level (3 thn)', 'Senior (5 thn)'."
job_category_parent,string,Grouped (Database Seeding),Nama fungsi pekerjaan utama (lowercase). Versi snake_case dari Job_Category_parent. Primary key di tabel Job_listings Supabase.,Software Engineering,False,glints_category_output.csv,1 baris per unique job_category_parent. Total baris = jumlah kategori unik di dataset.
job_category,string,Grouped (Database Seeding),Salah satu contoh job_category (L3) dari kategori ini (diambil 'first' saat groupby),Backend Developer,True,glints_category_output.csv,Bukan representasi lengkap — hanya sample satu nilai. Tidak digunakan untuk seeding.
job_link,string,Grouped (Database Seeding),Salah satu contoh job_link dari kategori ini (diambil 'first' saat groupby),https://glints.com/id/opportunities/jobs/abc123,True,glints_category_output.csv,"Hanya sample referensi, tidak digunakan saat seeding database."
skills,string (comma-separated),Grouped (Database Seeding),Sample raw skills (max 5 unique posting) untuk kategori ini,"Python, SQL, Machine Learning",True,glints_category_output.csv,Bukan daftar lengkap. Gunakan skills_list untuk daftar lengkap unique skills per kategori.
min_avg_salary,float (USD),Grouped (Database Seeding),Rata-rata salary_min_usd dari semua posting dalam kategori ini (hanya posting has_salary=True),312.5,True,glints_category_output.csv,Null jika tidak ada posting dengan salary valid di kategori ini. Di-insert ke kolom Min_Salary tabel Job_listings Supabase.
max_avg_salary,float (USD),Grouped (Database Seeding),Rata-rata salary_max_usd dari semua posting dalam kategori ini (hanya posting has_salary=True),500.0,True,glints_category_output.csv,Null jika tidak ada posting dengan salary valid di kategori ini. Di-insert ke kolom Max_Salary tabel Job_listings Supabase.
